Date,Close
27-03-2017,9173.75
03-04-2017,9198.299805
10-04-2017,9150.799805
17-04-2017,9119.400391
24-04-2017,9304.049805
01-05-2017,9285.299805
08-05-2017,9400.900391
15-05-2017,9427.900391
22-05-2017,9595.099609
29-05-2017,9653.5
05-06-2017,9668.25
12-06-2017,9588.049805
19-06-2017,9574.950195
26-06-2017,9520.900391
03-07-2017,9665.799805
10-07-2017,9886.349609
17-07-2017,9915.25
24-07-2017,10014.5
31-07-2017,10066.40039
07-08-2017,9710.799805
14-08-2017,9837.400391
21-08-2017,9857.049805
28-08-2017,9974.400391
04-09-2017,9934.799805
11-09-2017,10085.40039
18-09-2017,9964.400391
25-09-2017,9788.599609
02-10-2017,9979.700195
09-10-2017,10167.4502
16-10-2017,10146.54981
23-10-2017,10323.04981
30-10-2017,10452.5
06-11-2017,10321.75
13-11-2017,10283.59961
20-11-2017,10389.7002
27-11-2017,10121.79981
04-12-2017,10265.65039
11-12-2017,10333.25
18-12-2017,10493
25-12-2017,10530.7002
01-01-2018,10558.84961
08-01-2018,10681.25
15-01-2018,10894.7002
22-01-2018,11069.65039
29-01-2018,10760.59961
05-02-2018,10454.9502
12-02-2018,10452.29981
19-02-2018,10491.04981
26-02-2018,10458.34961
05-03-2018,10226.84961
12-03-2018,10195.15039
19-03-2018,9998.049805
26-03-2018,10113.7002
02-04-2018,10331.59961
09-04-2018,10480.59961
16-04-2018,10564.04981
23-04-2018,10692.29981
30-04-2018,10618.25
07-05-2018,10806.5
14-05-2018,10596.40039
21-05-2018,10605.15039
28-05-2018,10696.2002
04-06-2018,10767.65039
11-06-2018,10817.7002
18-06-2018,10821.84961
25-06-2018,10714.29981
02-07-2018,10772.65039
09-07-2018,11018.90039
16-07-2018,11010.2002
23-07-2018,11278.34961
30-07-2018,11360.79981
06-08-2018,11429.5
13-08-2018,11470.75
20-08-2018,11557.09961
27-08-2018,11680.5
03-09-2018,11589.09961
10-09-2018,11515.2002
17-09-2018,11143.09961
24-09-2018,10930.4502
01-10-2018,10316.4502
08-10-2018,10472.5
15-10-2018,10303.54981
22-10-2018,10030
29-10-2018,10553
05-11-2018,10585.2002
12-11-2018,10682.2002
19-11-2018,10526.75
26-11-2018,10876.75
03-12-2018,10693.7002
10-12-2018,10805.4502
17-12-2018,10754
24-12-2018,10859.90039
31-12-2018,10727.34961
07-01-2019,10794.9502
14-01-2019,10906.9502
21-01-2019,10780.54981
28-01-2019,10893.65039
04-02-2019,10943.59961
11-02-2019,10724.40039
18-02-2019,10791.65039
25-02-2019,10863.5
04-03-2019,11035.40039
11-03-2019,11426.84961
18-03-2019,11456.90039
25-03-2019,11623.90039
01-04-2019,11665.9502
08-04-2019,11643.4502
15-04-2019,11752.79981
22-04-2019,11754.65039
29-04-2019,11712.25
06-05-2019,11278.90039
13-05-2019,11407.15039
